Algorithm,Function,Dimension,Population,Best Value,Execution Time
aba,ackley_function,2,10,6.201605017773431,0.0015358924865722656
aba,ackley_function,2,10,-6.3252442846330865,0.0015358924865722656
aba,ackley_function,2,20,0.028640527933221506,0.0030121803283691406
aba,ackley_function,2,20,0.014771274621420869,0.0030121803283691406
aba,ackley_function,2,30,0.0004364613569896667,0.0045888423919677734
aba,ackley_function,2,30,-0.00021114554625637733,0.0045888423919677734
aba,ackley_function,2,40,1.5122086663303995e-05,0.005656003952026367
aba,ackley_function,2,40,7.387488093049941e-06,0.005656003952026367
aba,ackley_function,2,50,-0.0003600624805925035,0.006566286087036133
aba,ackley_function,2,50,-5.905316043586291e-05,0.006566286087036133
aba,ackley_function,3,10,6.398289585210153,0.0013318061828613281
aba,ackley_function,3,10,-6.189542495733658,0.0013318061828613281
aba,ackley_function,3,10,5.812184581324578,0.0013318061828613281
aba,ackley_function,3,20,6.300191151761798,0.0028052330017089844
aba,ackley_function,3,20,6.325912034704245,0.0028052330017089844
aba,ackley_function,3,20,-6.10273233053099,0.0028052330017089844
aba,ackley_function,3,30,-0.012066741501698616,0.0041239261627197266
aba,ackley_function,3,30,6.274538162379092,0.0041239261627197266
aba,ackley_function,3,30,0.0015633124815747253,0.0041239261627197266
aba,ackley_function,3,40,6.3254871864739215,0.005436897277832031
aba,ackley_function,3,40,6.300795223228194,0.005436897277832031
aba,ackley_function,3,40,0.06046908751801768,0.005436897277832031
aba,ackley_function,3,50,-0.0238211172426233,0.0067310333251953125
aba,ackley_function,3,50,-6.27428283322471,0.0067310333251953125
aba,ackley_function,3,50,6.265556567254535,0.0067310333251953125
aba,ackley_function,5,10,-6.2283278898066055,0.0015041828155517578
aba,ackley_function,5,10,5.670150401956699,0.0015041828155517578
aba,ackley_function,5,10,6.2360214269934415,0.0015041828155517578
aba,ackley_function,5,10,-4.530703113672023,0.0015041828155517578
aba,ackley_function,5,10,7.428753551531061,0.0015041828155517578
aba,ackley_function,5,20,-6.224503319283694,0.0031380653381347656
aba,ackley_function,5,20,-0.42515549750779646,0.0031380653381347656
aba,ackley_function,5,20,0.02001851897986651,0.0031380653381347656
aba,ackley_function,5,20,0.15579066289340818,0.0031380653381347656
aba,ackley_function,5,20,-0.14537334995157297,0.0031380653381347656
aba,ackley_function,5,30,6.3710469459289625,0.0045740604400634766
aba,ackley_function,5,30,6.370160079092969,0.0045740604400634766
aba,ackley_function,5,30,-6.232950955762479,0.0045740604400634766
aba,ackley_function,5,30,6.412363815356159,0.0045740604400634766
aba,ackley_function,5,30,0.27622767622808353,0.0045740604400634766
aba,ackley_function,5,40,-6.182770532829089,0.00607609748840332
aba,ackley_function,5,40,-6.209893112742446,0.00607609748840332
aba,ackley_function,5,40,-6.460233364870895,0.00607609748840332
aba,ackley_function,5,40,6.321243599597912,0.00607609748840332
aba,ackley_function,5,40,-6.125330191574488,0.00607609748840332
aba,ackley_function,5,50,-5.970858452030733,0.007422924041748047
aba,ackley_function,5,50,6.281930928314599,0.007422924041748047
aba,ackley_function,5,50,0.620871879688912,0.007422924041748047
aba,ackley_function,5,50,-6.522243407876192,0.007422924041748047
aba,ackley_function,5,50,5.776866428895098,0.007422924041748047
ba,ackley_function,2,10,6.2747490020708,0.0008482933044433594
ba,ackley_function,2,10,0.21220738838762965,0.0008482933044433594
ba,ackley_function,2,20,-0.05492069231245139,0.0013728141784667969
ba,ackley_function,2,20,-0.06456953745421276,0.0013728141784667969
ba,ackley_function,2,30,6.418012507840948,0.0019288063049316406
ba,ackley_function,2,30,-5.973837863585011,0.0019288063049316406
ba,ackley_function,2,40,-0.012989982212186307,0.002501249313354492
ba,ackley_function,2,40,0.02043854689296845,0.002501249313354492
ba,ackley_function,2,50,-0.02225989520277187,0.0031032562255859375
ba,ackley_function,2,50,-0.03470545552686187,0.0031032562255859375
ba,ackley_function,3,10,-6.110943720520892,0.0008568763732910156
ba,ackley_function,3,10,6.259809259281427,0.0008568763732910156
ba,ackley_function,3,10,6.863632723351313,0.0008568763732910156
ba,ackley_function,3,20,6.645667611862274,0.001432657241821289
ba,ackley_function,3,20,0.08601019399636192,0.001432657241821289
ba,ackley_function,3,20,-0.29085607346827413,0.001432657241821289
ba,ackley_function,3,30,-0.3555474395690551,0.0020661354064941406
ba,ackley_function,3,30,0.00886504498622645,0.0020661354064941406
ba,ackley_function,3,30,0.036574628353670785,0.0020661354064941406
ba,ackley_function,3,40,0.056892402942231635,0.0027048587799072266
ba,ackley_function,3,40,-6.31345942540918,0.0027048587799072266
ba,ackley_function,3,40,6.522638772565624,0.0027048587799072266
ba,ackley_function,3,50,0.048013640839367766,0.003270864486694336
ba,ackley_function,3,50,-6.318785219267184,0.003270864486694336
ba,ackley_function,3,50,-6.135384918518635,0.003270864486694336
ba,ackley_function,5,10,-5.1854414008616505,0.0009398460388183594
ba,ackley_function,5,10,-0.6819447855241421,0.0009398460388183594
ba,ackley_function,5,10,-6.8370726363112,0.0009398460388183594
ba,ackley_function,5,10,0.43396882785654206,0.0009398460388183594
ba,ackley_function,5,10,1.2617510738385302,0.0009398460388183594
ba,ackley_function,5,20,6.417857609300882,0.0017230510711669922
ba,ackley_function,5,20,-6.479922393341893,0.0017230510711669922
ba,ackley_function,5,20,-5.245350717479353,0.0017230510711669922
ba,ackley_function,5,20,6.109193030218478,0.0017230510711669922
ba,ackley_function,5,20,7.248079854274471,0.0017230510711669922
ba,ackley_function,5,30,6.24584173410458,0.0025191307067871094
ba,ackley_function,5,30,-0.2766558866508543,0.0025191307067871094
